Station,Closest Threshold
0,0.6666666666666666
1,0.4444444444444444
2,0.5555555555555556
3,0.6666666666666666
4,0.1111111111111111
5,0.5555555555555556
6,0.6666666666666666
7,0.5555555555555556
8,0.6666666666666666
9,0.5555555555555556
10,0.7777777777777777
11,0.7777777777777777
12,0.7777777777777777
13,0.8888888888888888
14,0.5555555555555556
15,0.6666666666666666
16,0.6666666666666666
17,0.5555555555555556
18,0.7777777777777777
19,0.7777777777777777
20,0.5555555555555556
21,0.6666666666666666
22,0.6666666666666666
23,0.7777777777777777
24,0.5555555555555556
25,0.6666666666666666
26,0.6666666666666666
27,0.1111111111111111
28,0.4444444444444444
29,0.4444444444444444
30,0.4444444444444444
31,0.5555555555555556
32,0.5555555555555556
33,0.5555555555555556
34,0.5555555555555556
35,0.5555555555555556
36,0.6666666666666666
37,0.6666666666666666
38,0.7777777777777777
39,0.6666666666666666
40,0.7777777777777777
41,0.7777777777777777
42,0.7777777777777777
43,0.6666666666666666
44,0.6666666666666666
45,0.4444444444444444
46,0.6666666666666666
47,0.5555555555555556
48,0.6666666666666666
49,0.5555555555555556
50,0.3333333333333333
51,0.2222222222222222
52,0.6666666666666666
53,0.4444444444444444
54,0.4444444444444444
55,0.4444444444444444
56,0.5555555555555556
57,0.5555555555555556
58,0.6666666666666666
59,0.5555555555555556
60,0.4444444444444444
61,0.5555555555555556
62,0.8888888888888888
63,0.7777777777777777
64,0.7777777777777777
65,0.7777777777777777
66,0.7777777777777777
67,0.6666666666666666
68,0.5555555555555556
69,0.8888888888888888
70,0.8888888888888888
71,0.8888888888888888
72,0.1111111111111111
73,0.1111111111111111
74,0.1111111111111111
75,0.8888888888888888
76,0.1111111111111111
77,0.8888888888888888
78,0.1111111111111111
79,0.1111111111111111
80,0.7777777777777777
81,0.1111111111111111
82,0.7777777777777777
83,0.6666666666666666
84,0.6666666666666666
